x,y,ID,polyid,stockid,abulast,abulastvar,trmean,trvar
1412688.42020285,800118.672446814,8,AD48,12,22.4789093015824,35054.4297124078,4.60786701746518,9.67180036436487
1404331.57995423,797530.036598842,9,AD49,12,26.1860333610812,34721.0364714672,2.39721543398693,30.3011400767386
1410603.4085528,790807.87967468,65,AD50,12,486.338108215953,22826090.3363237,35.6294240609795,2563.79608745646
1421294.97547631,795794.614954258,10,AD51,12,77.8843327902525,817172.54270566,0.160349912262614,205.554641537477
1427434.71318898,806952.189016343,11,AD52,12,98.1565436618664,830118.0260051,7.36544299018109,718.440531691217
1431603.64794085,792329.932286036,12,AD53,12,105.17444090842,698221.53448238,12.6322118289097,316.604164153106
1427715.14647073,784239.748067389,66,AD54,12,81.5536604933826,768651.326426962,2.78180809522247,432.965713821943
1420198.11907524,788115.489928829,67,AD55,12,36.6309002892731,59162.4577182923,3.51007405617387,58.57632252538
1400963.12508032,812841.108208208,68,AD56,12,284.151809199635,20373709.7549148,41.5838352083618,1195.5043395011
1391087.6555581,819288.879712969,69,AD57,12,3.88899340426326,494.417902946778,-0.260356295746532,0.671546550436376
1390513.89323962,807535.680497486,70,AD58,12,229.463368124869,3882178.17146858,46.7321099499995,2429.83027603941
1378006.41030051,825351.753105356,15,AD59,12,58.8427972675188,155226.72487267,5.96471148195997,121.622827160149
1381350.81774452,832732.97560637,162,AD60,12,0.000741583946180181,0.0000353042774991105,0.0000228311964658323,0.0000000920152197576466
1378733.54831372,847554.431624588,17,AD61,12,85.8588479587923,221309.725351808,11.1757611841825,222.232068483821
1377452.62728618,865712.639305799,18,AD62,12,175.626022602077,957388.469948364,22.5321004389087,963.44082538788
1376702.47920661,875423.777261885,19,AD63,12,179.099976544091,751727.637633472,11.6619852103616,779.801906937524
